DateTime, Open, High, Low, Close, Volume
2022-04-06 04:00:00,451.27,451.27,449.14,449.49,3658
2022-04-06 04:05:00,449.45,449.64,449.45,449.55,2444
2022-04-06 04:10:00,449.46,449.54,449.32,449.53,1341
2022-04-06 04:15:00,449.53,449.59,449.03,449.08,1059
2022-04-06 04:20:00,449.09,449.1,448.79,448.79,4599
2022-04-06 04:25:00,448.9,449.24,448.9,449.11,3622
2022-04-06 04:30:00,449.15,449.18,448.83,448.88,2105
2022-04-06 04:35:00,449.11,449.11,448.8,448.92,6046
2022-04-06 04:40:00,448.91,448.91,448.8,448.8,2600
2022-04-06 04:45:00,449.13,449.3,449.1,449.22,2871
2022-04-06 04:50:00,449.26,449.43,449.26,449.37,2622
2022-04-06 04:55:00,449.46,449.47,449.46,449.47,231
2022-04-06 05:00:00,449.6,449.6,449.4,449.4,1200
2022-04-06 05:05:00,449.42,449.43,449.21,449.21,7923
2022-04-06 05:10:00,449.33,449.33,449.06,449.06,5578
2022-04-06 05:15:00,449.0,449.16,448.8,449.09,2600
2022-04-06 05:20:00,449.0,449.02,448.89,448.89,890
2022-04-06 05:25:00,449.02,449.02,448.84,448.84,1400
2022-04-06 05:30:00,448.88,448.88,448.86,448.86,600
2022-04-06 05:35:00,448.68,448.69,448.55,448.55,960
2022-04-06 05:40:00,448.7,448.7,448.2,448.32,6296
2022-04-06 05:45:00,448.46,448.46,448.17,448.17,2141
2022-04-06 05:50:00,448.13,448.18,447.99,448.18,6513
2022-04-06 05:55:00,448.14,448.65,448.14,448.65,1500
2022-04-06 06:00:00,448.7,448.7,448.55,448.56,1452
2022-04-06 06:05:00,448.71,448.71,448.71,448.71,120
2022-04-06 06:10:00,448.56,448.64,448.24,448.32,3701
2022-04-06 06:15:00,448.26,448.28,447.9,448.01,9878
2022-04-06 06:20:00,448.01,448.22,447.91,448.22,5153
2022-04-06 06:25:00,448.15,448.31,448.09,448.3,2776
2022-04-06 06:30:00,448.2,448.2,447.96,448.06,5840
