DateTime, Open, High, Low, Close, Volume
0000-00-00 04:00:00,457.3,457.3,457.11,457.11,847
0000-00-00 04:05:00,457.09,457.23,457.07,457.22,1100
0000-00-00 04:10:00,457.2,457.4,457.2,457.36,2043
0000-00-00 04:15:00,457.365,457.44,457.19,457.19,1916
0000-00-00 04:20:00,457.27,457.27,457.2,457.2,544
0000-00-00 04:25:00,457.17,457.17,457.0,457.0,2100
0000-00-00 04:30:00,456.96,456.98,456.85,456.94,1596
0000-00-00 04:35:00,456.98,457.05,456.98,457.0,1049
0000-00-00 04:40:00,457.04,457.06,457.04,457.04,1300
0000-00-00 04:45:00,457.01,457.01,456.92,456.92,400
0000-00-00 04:50:00,456.83,456.83,456.83,456.83,100
0000-00-00 04:55:00,456.8,456.8,456.55,456.63,900
0000-00-00 05:00:00,456.61,456.61,456.55,456.55,350
0000-00-00 05:05:00,456.73,456.75,456.66,456.75,1681
0000-00-00 05:20:00,456.58,456.58,456.47,456.47,499
0000-00-00 05:25:00,456.56,456.56,456.38,456.38,500
0000-00-00 05:30:00,456.47,456.47,456.41,456.45,1600
0000-00-00 05:35:00,456.47,456.47,456.14,456.14,1777
0000-00-00 05:40:00,456.02,456.14,456.02,456.14,988
0000-00-00 05:45:00,456.05,456.05,455.83,455.83,8094
0000-00-00 05:50:00,455.81,455.98,455.79,455.98,800
0000-00-00 05:55:00,455.97,455.97,455.85,455.85,1003
0000-00-00 06:00:00,455.84,456.06,455.84,456.06,1421
0000-00-00 06:05:00,456.0,456.1,455.61,455.61,4000
0000-00-00 06:10:00,455.63,455.66,455.53,455.53,6800
0000-00-00 06:15:00,455.63,455.75,455.63,455.7,648
0000-00-00 06:20:00,455.75,455.75,455.41,455.41,1073
0000-00-00 06:25:00,455.51,455.53,455.42,455.53,1300
0000-00-00 06:30:00,455.64,455.73,455.36,455.36,3526
0000-00-00 06:35:00,455.36,455.44,455.32,455.44,2504
0000-00-00 06:40:00,455.48,455.57,455.48,455.57,300
0000-00-00 06:45:00,455.51,455.63,455.43,455.63,5150
0000-00-00 06:50:00,455.58,455.79,455.58,455.76,2016
0000-00-00 06:55:00,455.71,455.79,455.71,455.79,267
0000-00-00 07:00:00,455.74,455.829,455.68,455.81,10451
0000-00-00 07:05:00,455.74,455.74,455.57,455.58,3582
0000-00-00 07:10:00,455.57,455.579,455.44,455.44,3817
0000-00-00 07:15:00,455.61,455.64,455.52,455.64,8290
0000-00-00 07:20:00,455.64,455.76,455.64,455.65,4850
0000-00-00 07:25:00,455.66,455.75,455.66,455.73,800
0000-00-00 07:30:00,455.83,455.86,455.75,455.81,9905
0000-00-00 07:35:00,455.8,455.91,455.8,455.86,6634
0000-00-00 07:40:00,456.0,456.12,455.94,456.11,6442
0000-00-00 07:45:00,456.1,456.13,456.06,456.11,30420
0000-00-00 07:50:00,456.11,456.11,455.95,455.99,15179
0000-00-00 07:55:00,456.02,456.02,456.0,456.0,500
0000-00-00 08:00:00,455.8,457.0,455.47,456.21,22126
0000-00-00 08:05:00,456.22,456.22,455.9501,456.0,5963
0000-00-00 08:10:00,456.0,456.07,455.94,455.94,6455
0000-00-00 08:15:00,455.92,455.92,455.74,455.9,8623
0000-00-00 08:20:00,455.82,455.89,455.59,455.59,5651
0000-00-00 08:25:00,455.58,455.7,455.56,455.7,7544
0000-00-00 08:30:00,455.67,455.82,455.66,455.82,12851
0000-00-00 08:35:00,455.83,455.88,455.6605,455.77,7996
0000-00-00 08:40:00,455.8,455.91,455.74,455.76,8206
0000-00-00 08:45:00,455.8101,455.84,455.73,455.73,3416
0000-00-00 08:50:00,455.76,455.8,455.57,455.68,7415
0000-00-00 08:55:00,455.68,455.72,455.34,455.36,30010
0000-00-00 09:00:00,455.44,455.79,455.43,455.72,12226
0000-00-00 09:05:00,455.74,455.74,455.49,455.71,7888
0000-00-00 09:10:00,455.64,455.75,455.61,455.73,17118
0000-00-00 09:15:00,455.76,455.94,455.76,455.76,19081
0000-00-00 09:20:00,455.78,455.89,455.6,455.7,7927
0000-00-00 09:25:00,455.65,455.75,455.21,455.22,187495
0000-00-00 09:30:00,455.22,456.56,455.03,456.475,1282137
0000-00-00 09:35:00,456.47,456.98,456.45,456.87,957294
0000-00-00 09:40:00,456.87,457.18,456.77,456.8029,686823
0000-00-00 09:45:00,456.83,457.18,456.61,456.705,722488
0000-00-00 09:50:00,456.71,456.79,456.26,456.58,759705
0000-00-00 09:55:00,456.56,456.96,456.53,456.91,586217
0000-00-00 10:00:00,456.91,457.83,456.745,457.32,1238976
0000-00-00 10:05:00,457.31,457.36,454.67,454.85,2220888
0000-00-00 10:10:00,454.84,455.19,454.73,454.96,1454524
0000-00-00 10:15:00,454.935,454.935,454.01,454.19,1493514
0000-00-00 10:20:00,454.2,454.58,453.89,454.25,1140596
0000-00-00 10:25:00,454.24,454.53,454.05,454.44,714760
0000-00-00 10:30:00,454.44,454.72,454.09,454.2175,588629
0000-00-00 10:35:00,454.21,454.62,453.79,453.89,616933
0000-00-00 10:40:00,453.89,454.25,453.87,454.15,529409
0000-00-00 10:45:00,454.16,454.875,454.03,454.84,732235
0000-00-00 10:50:00,454.84,455.5114,454.727,455.39,904135
0000-00-00 10:55:00,455.38,455.38,455.01,455.09,619809
0000-00-00 11:00:00,455.09,455.26,454.72,455.02,555694
0000-00-00 11:05:00,455.02,455.2,454.65,454.77,423263
0000-00-00 11:10:00,454.77,454.94,454.4,454.855,471020
0000-00-00 11:15:00,454.85,454.88,454.21,454.38,494960
0000-00-00 11:20:00,454.38,454.87,454.36,454.375,399461
0000-00-00 11:25:00,454.37,454.62,454.18,454.55,533793
0000-00-00 11:30:00,454.56,454.99,454.4,454.94,565342
